project_id,project_name,client_name,start_date,end_date,status,region,industry,description
1,Project Atlas Expansion,Emirates,2023-09-10,2023-12-21,Completed,Middle East,Retail,Data center consolidation
2,Project Nova Enhancement,ExxonMobil,2022-08-07,2025-12-14,On Track,Latin America,Healthcare,Data center consolidation
3,Project Nova Migration,Ford,2020-04-03,2020-06-21,Cancelled,Middle East,Automotive,Mobile app redevelopment
4,Project Helios Migration,Nestle,2022-12-11,2025-04-02,Delayed,Middle East,Automotive,Data center consolidation
5,Project Helios Integration,HSBC,2021-03-24,2024-11-08,Proposed,Africa,Technology,Analytics dashboards
6,Project Titan Enhancement,JP Morgan Chase,2020-03-26,2022-01-28,Proposed,North America,Insurance,Analytics dashboards
7,Project Nova Upgrade,Banco Santander,2023-04-17,2023-06-17,Proposed,Africa,Retail,E-commerce platform integration
8,Project Orion Upgrade,Volkswagen,2020-10-10,2023-11-18,Proposed,Latin America,Technology,E-commerce platform integration
9,Project Gemini Expansion,Emirates,2020-12-21,2023-04-29,Cancelled,Africa,Retail,Cloud migration project
10,Project Titan Analytics,Visa,2021-07-01,2024-02-09,On Track,Latin America,Insurance,E-commerce platform integration
11,Project Helios Analytics,Ford,2021-06-10,2023-10-21,Proposed,Middle East,Insurance,Data center consolidation
12,Project Nova Analytics,Samsung,2022-04-28,2024-04-08,Cancelled,APAC,Insurance,Upgrading legacy systems
13,Project Orion Upgrade,Nestle,2022-07-04,2023-07-04,Completed,North America,Healthcare,Cloud migration project
14,Project Gemini Enhancement,Emirates,2023-06-15,2025-12-14,Proposed,APAC,Automotive,Analytics dashboards
15,Project Orion Integration,ExxonMobil,2022-10-25,2023-11-17,Delayed,APAC,Technology,Data center consolidation
16,Project Vantage Integration,Wells Fargo,2021-04-14,2024-04-07,Proposed,APAC,Healthcare,Analytics dashboards
17,Project Orion Enhancement,AT&T,2021-06-24,2024-05-21,Delayed,APAC,Healthcare,Analytics dashboards
18,Project Orion Enhancement,Banco Santander,2022-11-14,2023-04-19,Cancelled,APAC,Telecom,Core banking overhaul
19,Project Atlas Migration,Emirates,2022-07-16,2024-01-26,Delayed,North America,Technology,Cloud migration project
20,Project Phoenix Upgrade,Amazon,2021-01-20,2021-12-31,Completed,North America,Technology,Analytics dashboards
21,Project Phoenix Enhancement,AT&T,2020-04-07,2025-05-16,Proposed,North America,Telecom,Global ERP rollout
22,Project Helios Analytics,Samsung,2023-09-04,2023-10-09,On Track,Latin America,Banking,Upgrading legacy systems
23,Project Gemini Expansion,Visa,2020-03-31,2025-04-21,Delayed,Latin America,Automotive,Cloud migration project
24,Project Helios Analytics,Novartis,2020-09-25,2022-03-09,Cancelled,Middle East,Telecom,Cloud migration project
